clerks_id,first_name,last_name,personnel_id,birth_date,department_name,fk_department_id
1,Taban,Soleymani,7911,"23 Shahrivar 1378",financial,3
2,Rita,Ahmadi,7912,"7 Ordibehesht 1367",administrative,1
3,Kiana,Yousefi,7913,"27 Ordibehesht 1374",credit,4
4,Farzaneh,Hashemian,7914,"7 Mehr 1356",marketing,6
5,Hanieh,Amiri,7915,"23 Tir 1375",service,5
6,Zahra,Akrami,7916,"22 Azar 1364",commercial,2
7,Sara,Akbari,7917,"24 Tir 1345",producing,7
8,Sima,Ansari,7918,"2 Mordad 1377",commercial,2
9,Pegah,Mirzaei,7919,"9 Bahman 1371",marketing,6
10,Negar,Zarin,7920,"19 Khordad 1372",marketing,6
